epoch,loss,accuracy,val_loss,val_accuracy
1,1.704447627067566,0.46918830275535583,1.4165560007095337,0.6179271936416626
2,1.4462294578552246,0.6152845621109009,1.2713972330093384,0.668067216873169
3,1.3638036251068115,0.6472738981246948,1.3081185817718506,0.6764705777168274
4,1.3153693675994873,0.6627764105796814,1.1993156671524048,0.7016806602478027
5,1.2747608423233032,0.6831651926040649,1.2005354166030884,0.7092437148094177
6,1.2488114833831787,0.700741708278656,1.1571714878082275,0.7212885022163391
7,1.228377103805542,0.7045031189918518,1.1697272062301636,0.7134453654289246
8,1.2049959897994995,0.716736376285553,1.2174830436706543,0.694957971572876
9,1.1945757865905762,0.7233099937438965,1.1304469108581543,0.7302520871162415
10,1.1774311065673828,0.7335395812988281,1.1130982637405396,0.7347338795661926
11,1.165223240852356,0.7373360991477966,1.1181138753890991,0.7341736555099487
12,1.1521775722503662,0.7463704347610474,1.1123825311660767,0.738095223903656
13,1.1404099464416504,0.7521706819534302,1.0975732803344727,0.7375349998474121
14,1.130307674407959,0.756529688835144,1.0971674919128418,0.7476190328598022
15,1.120742678642273,0.7628924250602722,1.0900650024414062,0.7462185025215149
16,1.1106783151626587,0.7652828097343445,1.1076538562774658,0.7330532073974609
17,1.1062703132629395,0.7700988054275513,1.1044780015945435,0.745658278465271
18,1.094533920288086,0.7757935523986816,1.0929495096206665,0.7408963441848755
19,1.0862466096878052,0.7753717303276062,1.1067336797714233,0.7403361201286316
20,1.077833652496338,0.7838084697723389,1.1106839179992676,0.7406162619590759
